"Secretaría Ejecutiva del Consejo Monetario Centroamericano",,,,,,
Precios,,,,,,
"Índice de precios al consumidor",,,,,,
"Unidad de medida: Niveles del índice y variaciones en porcentajes",,,,,,
Fechas,Guatemala,,
,"IPC general","IPC variación mensual","IPC variación interanual"
2002-Noviembre,59.89,0.46,6.34
2002-Diciembre,60.23,0.57,6.33
2003-Enero,60.94,1.19,6.20
2003-Febrero,61.37,0.70,6.00
2003-Marzo,61.63,0.42,5.78
2003-Abril,61.91,0.46,5.67
2003-Mayo,62.06,0.25,5.56
2003-Junio,62.23,0.27,5.24
2003-Julio,62.39,0.26,4.65
2003-Agosto,62.57,0.28,4.96
2003-Setiembre,62.82,0.41,5.68
2003-Octubre,63.09,0.43,5.84
2003-Noviembre,63.38,0.45,5.84
2003-Diciembre,63.75,0.59,5.85
2004-Enero,64.73,1.53,6.21
2004-Febrero,65.21,0.74,6.26
2004-Marzo,65.67,0.71,6.57
2004-Abril,66.03,0.54,6.65
2004-Mayo,66.57,0.83,7.27
2004-Junio,66.84,0.40,7.40
2004-Julio,67.15,0.47,7.64
2004-Agosto,67.36,0.30,7.66
2004-Setiembre,67.88,0.78,8.05
2004-Octubre,68.54,0.98,8.64
2004-Noviembre,69.23,1.00,9.22
2004-Diciembre,69.64,0.59,9.23
2005-Enero,70.58,1.36,9.04
2005-Febrero,71.10,0.74,9.04
2005-Marzo,71.43,0.46,8.77
2005-Abril,71.89,0.64,8.88
2005-Mayo,72.25,0.50,8.52
2005-Junio,72.72,0.66,8.80
2005-Julio,73.40,0.93,9.30
2005-Agosto,73.67,0.37,9.37
2005-Setiembre,74.29,0.84,9.45
2005-Octubre,75.60,1.76,10.29
2005-Noviembre,75.63,0.04,9.25
2005-Diciembre,75.60,-0.04,8.57
2006-Enero,76.28,0.90,8.08
2006-Febrero,76.27,-0.02,7.26
2006-Marzo,76.63,0.48,7.28
2006-Abril,77.27,0.83,7.48
2006-Mayo,77.75,0.62,7.62
2006-Junio,78.21,0.60,7.55
2006-Julio,78.56,0.45,7.04
2006-Agosto,78.83,0.33,7.00
2006-Setiembre,78.53,-0.38,5.70
2006-Octubre,78.51,-0.02,3.85
2006-Noviembre,78.96,0.57,4.40
2006-Diciembre,79.98,1.30,5.79
2007-Enero,81.03,1.32,6.22
2007-Febrero,81.32,0.35,6.62
2007-Marzo,82.01,0.86,7.02
2007-Abril,82.21,0.24,6.40
2007-Mayo,82.00,-0.26,5.47
2007-Junio,82.37,0.45,5.31
2007-Julio,82.95,0.71,5.59
2007-Agosto,83.72,0.92,6.21
2007-Setiembre,84.28,0.67,7.33
2007-Octubre,84.57,0.34,7.72
2007-Noviembre,86.17,1.89,9.13
2007-Diciembre,86.98,0.94,8.75
2008-Enero,87.83,0.98,8.39
2008-Febrero,88.44,0.70,8.76
2008-Marzo,89.48,1.17,9.10
2008-Abril,90.74,1.41,10.37
2008-Mayo,92.04,1.43,12.24
2008-Junio,93.53,1.63,13.56
2008-Julio,94.70,1.24,14.16
2008-Agosto,95.18,0.51,13.69
2008-Setiembre,95.03,-0.16,12.75
2008-Octubre,95.50,0.50,12.93
2008-Noviembre,95.51,0.01,10.85
2008-Diciembre,95.15,-0.38,9.40
2009-Enero,94.75,-0.42,7.88
2009-Febrero,94.19,-0.59,6.50
2009-Marzo,93.95,-0.26,5.00
2009-Abril,94.02,0.08,3.62
2009-Mayo,94.15,0.13,2.29
2009-Junio,94.11,-0.04,0.62
2009-Julio,94.41,0.32,-0.30
2009-Agosto,94.48,0.07,-0.73
2009-Setiembre,95.06,0.61,0.03
2009-Octubre,94.88,-0.19,-0.65
2009-Noviembre,94.93,0.06,-0.61
2009-Diciembre,94.89,-0.05,-0.28
2010-Enero,96.11,1.29,1.43
2010-Febrero,96.53,0.44,2.48
2010-Marzo,97.64,1.15,3.93
2010-Abril,97.55,-0.09,3.75
2010-Mayo,97.45,-0.10,3.51
2010-Junio,97.94,0.50,4.07
2010-Julio,98.30,0.37,4.12
2010-Agosto,98.35,0.05,4.10
2010-Setiembre,98.63,0.28,3.76
2010-Octubre,99.15,0.53,4.51
2010-Noviembre,99.92,0.78,5.26
2010-Diciembre,100.00,0.08,5.39
2011-Enero,100.82,0.82,4.90
2011-Febrero,101.58,0.75,5.23
2011-Marzo,102.52,0.93,5.00
2011-Abril,103.17,0.63,5.76
2011-Mayo,103.68,0.49,6.39
2011-Junio,104.23,0.53,6.42
2011-Julio,105.22,0.95,7.04
2011-Agosto,105.85,0.60,7.63
2011-Setiembre,105.78,-0.07,7.25
2011-Octubre,105.74,-0.04,6.65
2011-Noviembre,105.97,0.22,6.05
2011-Diciembre,106.20,0.22,6.20
2012-Enero,106.30,0.09,5.44
2012-Febrero,106.83,0.50,5.17
2012-Marzo,107.18,0.33,4.55
2012-Abril,107.58,0.37,4.27
2012-Mayo,107.72,0.13,3.90
2012-Junio,107.85,0.12,3.47
2012-Julio,108.23,0.35,2.86
2012-Agosto,108.72,0.45,2.71
2012-Setiembre,109.25,0.49,3.28
2012-Octubre,109.28,0.03,3.35
2012-Noviembre,109.27,-0.01,3.11
2012-Diciembre,109.86,0.54,3.45
2013-Enero,110.40,0.49,3.86
2013-Febrero,111.30,0.82,4.18
2013-Marzo,111.83,0.48,4.34
2013-Abril,112.02,0.17,4.13
